dataset,prec,recall,f1,pos-ex,neg-ex,theta

political_table,0.006586,1.000000,0.013085,18,2660,0.000000
political_table,0.006586,1.000000,0.013085,18,2660,0.000000
political_table,0.006586,1.000000,0.013085,18,2660,0.000000
political_table,0.905882,1.000000,0.950617,18,2660,0.100000
political_table,0.905882,1.000000,0.950617,18,2660,0.100000
political_table,0.905882,1.000000,0.950617,18,2660,0.100000
political_table,1.000000,1.000000,1.000000,18,2660,0.200000
political_table,1.000000,1.000000,1.000000,18,2660,0.200000
political_table,1.000000,1.000000,1.000000,18,2660,0.200000
political_table,1.000000,1.000000,1.000000,18,2660,0.300000
political_table,1.000000,1.000000,1.000000,18,2660,0.300000
political_table,1.000000,1.000000,1.000000,18,2660,0.300000
political_table,1.000000,1.000000,1.000000,18,2660,0.400000
political_table,1.000000,1.000000,1.000000,18,2660,0.400000
political_table,1.000000,1.000000,1.000000,18,2660,0.400000
political_table,1.000000,1.000000,1.000000,18,2660,0.500000
political_table,1.000000,1.000000,1.000000,18,2660,0.500000
political_table,1.000000,1.000000,1.000000,18,2660,0.500000
political_table,1.000000,1.000000,1.000000,18,2660,0.600000
political_table,1.000000,1.000000,1.000000,18,2660,0.600000
political_table,1.000000,1.000000,1.000000,18,2660,0.600000
political_table,1.000000,1.000000,1.000000,18,2660,0.700000
political_table,1.000000,1.000000,1.000000,18,2660,0.700000
political_table,1.000000,1.000000,1.000000,18,2660,0.700000
political_table,1.000000,1.000000,1.000000,18,2660,0.800000
political_table,1.000000,1.000000,1.000000,18,2660,0.800000
political_table,1.000000,1.000000,1.000000,18,2660,0.800000
political_table,0.000000,0.000000,0.000000,18,2660,0.900000
political_table,0.000000,0.000000,0.000000,18,2660,0.900000
political_table,0.000000,0.000000,0.000000,18,2660,0.900000
political_table,0.000000,0.000000,0.000000,18,2660,1.000000
political_table,0.000000,0.000000,0.000000,18,2660,1.000000
political_table,0.000000,0.000000,0.000000,18,2660,1.000000
transistor,0.000557,1.000000,0.001113,18,37310,0.000000
transistor,0.000557,1.000000,0.001113,18,37310,0.000000
transistor,0.000557,1.000000,0.001113,18,37310,0.000000
transistor,0.000000,0.000000,0.000000,18,37310,0.100000
transistor,0.000000,0.000000,0.000000,18,37310,0.100000
transistor,0.000000,0.000000,0.000000,18,37310,0.100000
transistor,0.000000,0.000000,0.000000,18,37310,0.200000
transistor,0.000000,0.000000,0.000000,18,37310,0.200000
transistor,0.000000,0.000000,0.000000,18,37310,0.200000
transistor,0.000000,0.000000,0.000000,18,37310,0.300000
transistor,0.000000,0.000000,0.000000,18,37310,0.300000
transistor,0.000000,0.000000,0.000000,18,37310,0.300000
transistor,0.000000,0.000000,0.000000,18,37310,0.400000
transistor,0.000000,0.000000,0.000000,18,37310,0.400000
transistor,0.000000,0.000000,0.000000,18,37310,0.400000
transistor,0.000000,0.000000,0.000000,18,37310,0.500000
transistor,0.000000,0.000000,0.000000,18,37310,0.500000
transistor,0.000000,0.000000,0.000000,18,37310,0.500000
cdr,0.060728,1.000000,0.114502,1178,18159,0.000000
cdr,0.060728,1.000000,0.114502,1178,18159,0.000000
cdr,0.060728,1.000000,0.114502,1178,18159,0.000000
cdr,0.942940,0.559700,0.702448,1178,18159,0.100000
cdr,0.942940,0.559700,0.702448,1178,18159,0.100000
cdr,0.942940,0.559700,0.702448,1178,18159,0.100000
cdr,0.000000,0.000000,0.000000,1178,18159,0.200000
cdr,0.000000,0.000000,0.000000,1178,18159,0.200000
cdr,0.000000,0.000000,0.000000,1178,18159,0.200000
cdr,0.000000,0.000000,0.000000,1178,18159,0.300000
cdr,0.000000,0.000000,0.000000,1178,18159,0.300000
cdr,0.000000,0.000000,0.000000,1178,18159,0.300000
cdr,0.000000,0.000000,0.000000,1178,18159,0.400000
cdr,0.000000,0.000000,0.000000,1178,18159,0.400000
cdr,0.000000,0.000000,0.000000,1178,18159,0.400000
cdr,0.000000,0.000000,0.000000,1178,18159,0.500000
cdr,0.000000,0.000000,0.000000,1178,18159,0.500000
cdr,0.000000,0.000000,0.000000,1178,18159,0.500000
cdr,0.000000,0.000000,0.000000,1178,18159,0.600000
cdr,0.000000,0.000000,0.000000,1178,18159,0.600000
cdr,0.000000,0.000000,0.000000,1178,18159,0.600000
cdr,0.000000,0.000000,0.000000,1178,18159,0.700000
cdr,0.000000,0.000000,0.000000,1178,18159,0.700000
cdr,0.000000,0.000000,0.000000,1178,18159,0.700000
cdr,0.000000,0.000000,0.000000,1178,18159,0.800000
cdr,0.000000,0.000000,0.000000,1178,18159,0.800000
cdr,0.000000,0.000000,0.000000,1178,18159,0.800000
cdr,0.000000,0.000000,0.000000,1178,18159,0.900000
cdr,0.000000,0.000000,0.000000,1178,18159,0.900000
cdr,0.000000,0.000000,0.000000,1178,18159,0.900000
cdr,0.000000,0.000000,0.000000,1178,18159,1.000000
cdr,0.000000,0.000000,0.000000,1178,18159,1.000000
cdr,0.000000,0.000000,0.000000,1178,18159,1.000000
president_mix,0.000095,1.000000,0.000190,15,171732,0.000000
president_mix,0.000095,1.000000,0.000190,15,171732,0.000000
president_mix,0.000095,1.000000,0.000190,15,171732,0.000000
president_mix,1.000000,1.000000,1.000000,15,171732,0.100000
president_mix,1.000000,1.000000,1.000000,15,171732,0.100000
president_mix,1.000000,1.000000,1.000000,15,171732,0.100000
president_mix,0.000000,0.000000,0.000000,15,171732,0.200000
president_mix,0.000000,0.000000,0.000000,15,171732,0.200000
president_mix,0.000000,0.000000,0.000000,15,171732,0.200000
president_mix,0.000000,0.000000,0.000000,15,171732,0.300000
transistor,0.000030,1.000000,0.000060,5,37323,0.000000,span,80.461169
transistor,0.000030,1.000000,0.000060,5,37323,0.000000,span,77.827367
transistor,0.000030,1.000000,0.000060,5,37323,0.000000,span,78.599169
transistor,0.000000,0.000000,0.000000,5,37323,0.100000,span,79.027653
transistor,0.000000,0.000000,0.000000,5,37323,0.100000,span,79.190985
transistor,0.000000,0.000000,0.000000,5,37323,0.100000,span,79.367932
transistor,0.000000,0.000000,0.000000,5,37323,0.200000,span,81.505423
transistor,0.000000,0.000000,0.000000,5,37323,0.200000,span,78.993869
transistor,0.000000,0.000000,0.000000,5,37323,0.200000,span,77.933182
transistor,0.000000,0.000000,0.000000,5,37323,0.300000,span,78.977038
transistor,0.000000,0.000000,0.000000,5,37323,0.300000,span,78.111436
transistor,0.000000,0.000000,0.000000,5,37323,0.300000,span,79.598015
transistor,0.000000,0.000000,0.000000,5,37323,0.400000,span,78.951245
transistor,0.000000,0.000000,0.000000,5,37323,0.400000,span,79.184498
transistor,0.000000,0.000000,0.000000,5,37323,0.400000,span,79.718156
transistor,0.000000,0.000000,0.000000,5,37323,0.500000,span,80.049578
transistor,0.000000,0.000000,0.000000,5,37323,0.500000,span,78.033277
transistor,0.000000,0.000000,0.000000,5,37323,0.500000,span,79.670276
transistor,0.000000,0.000000,0.000000,5,37323,0.600000,span,78.881449
transistor,0.000000,0.000000,0.000000,5,37323,0.600000,span,79.821900
transistor,0.000000,0.000000,0.000000,5,37323,0.600000,span,82.035689
transistor,0.000000,0.000000,0.000000,5,37323,0.700000,span,78.573747
