
cdr,0.401416,0.668350,0.501579,span,10
cdr,0.935103,0.533670,0.679528,span,15
cdr,0.238620,0.547138,0.332311,span,15
cdr,0.740206,0.604377,0.665431,span,15
cdr,0.401416,0.668350,0.501579,span,15
cdr,0.935103,0.533670,0.679528,span,20
cdr,0.401416,0.668350,0.501579,span,20
cdr,0.162593,0.739057,0.266545,span,20
cdr,0.160277,0.739057,0.263426,span,20
cdr,0.565062,0.533670,0.548918,span,20
cdr,0.401416,0.668350,0.501579,span,30
cdr,0.740206,0.604377,0.665431,span,30
cdr,0.156067,0.809764,0.261697,span,30
cdr,0.414660,0.666667,0.511298,span,30
cdr,0.401416,0.668350,0.501579,span,30
cdr,0.162593,0.739057,0.266545,span,40
cdr,0.401416,0.668350,0.501579,span,40
cdr,0.401416,0.668350,0.501579,span,40
cdr,0.401416,0.668350,0.501579,span,40
cdr,0.401416,0.668350,0.501579,span,40
cdr,0.512258,0.668350,0.579985,span,60
cdr,0.156067,0.809764,0.261697,span,60
cdr,0.156067,0.809764,0.261697,span,60
cdr,0.156067,0.809764,0.261697,span,60
cdr,0.397124,0.604377,0.479306,span,60
cdr,0.401416,0.668350,0.501579,span,70
cdr,0.258697,0.688552,0.376092,span,70
cdr,0.414660,0.666667,0.511298,span,70
cdr,0.401416,0.668350,0.501579,span,70
cdr,0.243187,0.585859,0.343704,span,70
transistor,0.000111,1.000000,0.000222,span,1
transistor,0.000132,0.666667,0.000265,span,1
transistor,0.000137,1.000000,0.000274,span,1
transistor,0.000000,0.000000,nan,span,1
transistor,0.000000,0.000000,nan,span,1
transistor,0.000084,0.666667,0.000168,span,3
transistor,0.000137,1.000000,0.000274,span,3
transistor,0.000137,1.000000,0.000274,span,3
Exceed positive examples in train set. Truncate to 3
transistor,0.000125,0.666667,0.000249,span,5
Exceed positive examples in train set. Truncate to 3
Exceed positive examples in train set. Truncate to 3
transistor,0.000114,1.000000,0.000228,span,5
Exceed positive examples in train set. Truncate to 3
transistor,0.000137,1.000000,0.000274,span,5
Exceed positive examples in train set. Truncate to 3
Exceed positive examples in train set. Truncate to 3
transistor,0.000533,0.666667,0.001064,span,7
